id;course_id;grade
6;8;*
6;8;7
6;8;10.5
6;8;9
6;8;7.5
6;8;8.5
6;8;8.5
6;8;8.5
6;8;10
6;4;15
6;4;12.5
6;4;14
6;3;11
6;3;11.5
6;3;13
6;3;10.5
6;3;13.5
6;3;8.5
6;3;10.5
6;7;7.5
6;7;7.5
6;7;9
6;7;13.5
6;7;11.5
6;9;11.5
6;9;9.5
6;9;11
6;5;10.5
6;5;8.5
6;5;7.5
6;5;11.5
6;5;12
6;5;10
6;5;14.5
6;5;10
6;5;11.5
6;10;5
6;10;7
6;10;7
6;6;7
6;6;5
6;6;10
6;6;13.5
6;6;11.5
6;1;10.5
6;1;14
6;1;8.5
6;1;8
6;2;14.5
6;2;17.5
6;2;14.5
8;8;6
8;8;5
8;8;8.5
8;8;9.5
8;8;6.5
8;8;8
8;8;8.5
8;8;9.5
8;8;7.5
8;4;19.5
8;4;15
8;4;14.5
8;3;15.5
8;3;11.5
8;3;9.5
8;3;12.5
8;3;9.5
8;3;12.5
8;3;12
8;7;11.5
8;7;8
8;7;10
8;7;11
8;7;11.5
8;9;14.5
8;9;12.5
8;9;11
8;9;16.5
8;5;12
8;5;8.5
8;5;14
8;5;9.5
8;5;11.5
8;5;17
8;5;11
8;5;11
8;5;14
8;5;14.5
8;10;8
8;10;3
8;10;7
8;6;12.5
8;6;11.5
8;6;13.5
8;6;13
8;6;9
8;1;15
8;1;13
8;1;14.5
8;1;12
8;2;10.5
8;2;18
8;2;9
13;8;14
13;8;6.5
13;8;10
13;8;12
13;8;10
13;8;12
13;8;9.5
13;8;13.5
13;8;13
13;4;9.5
13;4;15
13;4;19
13;3;13.5
13;3;9
13;3;12.5
13;3;11.5
13;3;13.5
13;3;10.5
13;7;12
13;7;8.5
13;7;13.5
13;7;11
13;7;12
13;9;10.5
13;9;13.5
13;9;11.5
13;9;14
13;5;11
13;5;16
13;5;15
13;5;12.5
13;5;10
13;5;12.5
13;5;12.5
13;5;11.5
13;5;13.5
13;5;15
13;10;8
13;10;5
13;10;4
13;6;9.5
13;6;14.5
13;6;10.5
13;6;12.5
13;6;9.5
13;1;9.5
13;1;11
13;1;8.5
13;1;7.5
13;2;10
13;2;12
13;2;17.5
50;8;10
50;8;11.5
50;8;13.5
50;8;6.5
50;8;8
50;8;9
50;8;7.5
50;8;9
50;4;15.5
50;4;13
50;4;13.5
50;3;10.5
50;3;10.5
50;3;11
50;3;11.5
50;3;13
50;3;11.5
50;3;8
50;7;13.5
50;7;12
50;7;9
50;7;11
50;7;10.5
50;9;12.5
50;9;9
50;9;16
50;9;11
50;5;8
50;5;13.5
50;5;12.5
50;5;14.5
50;5;11.5
50;5;15
50;5;13
50;5;10
50;5;12.5
50;5;11
50;10;7
50;10;10
50;10;5
50;6;5.5
50;6;8.5
50;6;8.5
50;6;10.5
50;6;12.5
50;1;11
50;1;8.5
50;1;8
50;1;11
50;2;17.5
50;2;11
50;2;12
51;8;8
51;8;9.5
51;8;9.5
51;8;12.5
51;8;9.5
51;8;10.5
51;8;8.5
51;8;11.5
51;8;11
51;4;16.5
51;4;11.5
51;4;16.5
51;3;11.5
51;3;12
51;3;10
51;3;13
51;3;9
51;3;13
51;3;11.5
51;7;9.5
51;7;11
51;7;10
51;7;7.5
51;7;13
51;9;8
51;9;14
51;9;11
51;9;16.5
51;5;9.5
51;5;15.5
51;5;12
51;5;12
51;5;8.5
51;5;11
51;5;15
51;5;11.5
51;5;15
51;5;14.5
51;10;2
51;10;8
51;10;3
51;6;11
51;6;15
51;6;7.5
51;6;9
51;6;8.5
51;1;13
51;1;14.5
51;1;8.5
51;1;12.5
51;2;10.5
51;2;9.5
51;2;12
65;8;10
65;8;11
65;8;11.5
65;8;11.5
65;8;10.5
65;8;8.5
65;8;18.5
65;8;8
65;8;7.5
65;4;12.5
65;4;16
65;4;12.5
65;3;11
65;3;12.5
65;3;11
65;3;9.5
65;3;12
65;3;12.5
65;3;10
65;7;13.5
65;7;12
65;7;12.5
65;7;9
65;7;10
65;9;11.5
65;9;10
65;9;11.5
65;9;13
65;5;10.5
65;5;16.5
65;5;14.5
65;5;8.5
65;5;12.5
65;5;11
65;5;13.5
65;5;11
65;5;13
65;5;13
65;10;5
65;10;7
65;10;6
65;6;12.5
65;6;9.5
65;6;3
65;6;9.5
65;6;13
65;1;12.5
65;1;10
65;1;13.5
65;1;9.5
65;2;14
65;2;16
65;2;13.5
71;8;9
71;8;8
71;8;10
71;8;8
71;8;11
71;8;3
71;8;10.5
71;8;7
71;8;11
71;4;18
71;4;12
71;4;17
71;3;14.5
71;3;13
71;3;11.5
71;3;11
71;3;10
71;3;12.5
71;3;10.5
71;7;14.5
71;7;11
71;7;11
71;7;12.5
71;7;9
71;9;14
71;9;15.5
71;9;10.5
71;9;16.5
71;5;10.5
71;5;14.5
71;5;14
71;5;11
71;5;11.5
71;5;14.5
71;5;13
71;5;13
71;5;13
71;5;16
71;10;8
71;10;1
71;6;10.5
71;6;9.5
71;6;10
71;6;12.5
71;6;16.5
71;1;13
71;1;13
71;1;10.5
71;1;11
71;2;14
71;2;17
71;2;20
99;8;12
99;8;7
99;8;7
99;8;5
99;8;9
99;8;11
99;8;7
99;8;9.5
99;8;12.5
99;4;15
99;4;11.5
99;4;13.5
99;3;13
99;3;12
99;3;10.5
99;3;13.5
99;3;12
99;3;12
99;3;11
99;7;9.5
99;7;8.5
99;7;8.5
99;7;4.5
99;7;11
99;9;11.5
99;9;8.5
99;9;13
99;9;10.5
99;5;12.5
99;5;11.5
99;5;15
99;5;9.5
99;5;10
99;5;12
99;5;15.5
99;5;20
99;5;6.5
99;5;9
99;10;4
99;10;0
99;10;9
99;6;10.5
99;6;20
99;6;11.5
99;6;10.5
99;6;13
99;1;10
99;1;11
99;1;6
99;2;17
99;2;14.5
99;2;2.5
111;8;6.5
111;8;8
111;8;13
111;8;7.5
111;8;11.5
111;8;9.5
111;8;14
111;8;11.5
111;8;13.5
111;4;19.5
111;4;14.5
111;4;14
111;3;11
111;3;10
111;3;13
111;3;12.5
111;3;11.5
111;3;13
111;3;10.5
111;7;9.5
111;7;10.5
111;7;13
111;7;7.5
111;7;7
111;9;16
111;9;12
111;9;13
111;9;14.5
111;5;13.5
111;5;8.5
111;5;9.5
111;5;12
111;5;10
111;5;10
111;5;17
111;5;13
111;5;11
111;5;13.5
111;10;7
111;10;10
111;10;6
111;6;11.5
111;6;10
111;6;9.5
111;6;8
111;6;10
111;1;13
111;1;12.5
111;1;12.5
111;2;18
111;2;16.5
111;2;15.5
114;8;10
114;8;10
114;8;12
114;8;9.5
114;8;7
114;8;11.5
114;8;6.5
114;8;10
114;8;9.5
114;4;13.5
114;4;17.5
114;4;6
114;3;12
114;3;12
114;3;11.5
114;3;11.5
114;3;11.5
114;3;10
114;3;10
114;7;6.5
114;7;12
114;7;10
114;7;11
114;7;9
114;9;12.5
114;9;8
114;9;12.5
114;9;9.5
114;5;*
114;5;11
114;5;15
114;5;13
114;5;13.5
114;5;13
114;5;15.5
114;5;11.5
114;5;12
114;5;12.5
114;10;7
114;10;8
114;10;5
114;6;8.5
114;6;8
114;6;11
114;6;12
114;6;10
114;1;12.5
114;1;12.5
114;1;13.5
114;1;8
114;2;13.5
114;2;9
114;2;19.5
122;8;11.5
122;8;9
122;8;9
122;8;8
122;8;14.5
122;8;7
122;8;11
122;8;13
122;8;8
122;4;15.5
122;4;15.5
122;4;13.5
122;3;11
122;3;12
122;3;6.5
122;3;13
122;3;9
122;3;*
122;3;11.5
122;7;10.5
122;7;12.5
122;7;12
122;7;12
122;7;15
122;9;13.5
122;9;14
122;9;11.5
122;9;11
122;5;11.5
122;5;16
122;5;7.5
122;5;15
122;5;13.5
122;5;14.5
122;5;16.5
122;5;14.5
122;5;13
122;5;10
122;10;4
122;10;4
122;10;8
122;6;10.5
122;6;8
122;6;6
122;6;11.5
122;6;13
122;1;9
122;1;12.5
122;1;14.5
122;1;10
122;2;12.5
122;2;16.5
122;2;14.5
135;8;11.5
135;8;6
135;8;11
135;8;11.5
135;8;10.5
135;8;6.5
135;8;8.5
135;8;9.5
135;4;13.5
135;4;12.5
135;4;15.5
135;3;13
135;3;12.5
135;3;12.5
135;3;11.5
135;3;14
135;3;10
135;3;11
135;7;11.5
135;7;10
135;7;11
135;7;10.5
135;7;7
135;9;13
135;9;12.5
135;9;15
135;9;12.5
135;5;12.5
135;5;14.5
135;5;13.5
135;5;7.5
135;5;12.5
135;5;10
135;5;11
135;5;13
135;5;14
135;5;11
135;10;8
135;10;7
135;10;6
135;6;6
135;6;8
135;6;5
135;6;11.5
135;6;13.5
135;1;11.5
135;1;9.5
135;1;15.5
135;1;8
135;2;10.5
135;2;19.5
135;2;10.5
148;8;12
148;8;13
148;8;8.5
148;8;10
148;8;6.5
148;8;10
148;8;12.5
148;8;11
148;8;11
148;4;11.5
148;4;16
148;4;16
148;3;11
148;3;10.5
148;3;13.5
148;3;11.5
148;3;9.5
148;3;9
148;3;12
148;7;10
148;7;9
148;7;10
148;7;10.5
148;7;12
148;9;8.5
148;9;12
148;9;10
148;9;9
148;5;11
148;5;14.5
148;5;12.5
148;5;14.5
148;5;14
148;5;11.5
148;5;14.5
148;5;12
148;5;17
148;5;13
148;10;5
148;10;6
148;10;0
148;6;8.5
148;6;17.5
148;6;12
148;6;11.5
148;6;9
148;1;9
148;1;6.5
148;1;10
148;2;14
148;2;13.5
148;2;13.5
164;8;11
164;8;11.5
164;8;8
164;8;9.5
164;8;10.5
164;8;13.5
164;8;13
164;8;10.5
164;8;10
164;4;11.5
164;4;10.5
164;4;11.5
164;3;15
164;3;10.5
164;3;12.5
164;3;11.5
164;3;13
164;3;11.5
164;7;11
164;7;*
164;7;14.5
164;7;15
164;9;11.5
164;9;14.5
164;9;11
164;9;8
164;5;15
164;5;15.5
164;5;15
164;5;10
164;5;13.5
164;5;11.5
164;5;12
164;5;10
164;5;9.5
164;5;19
164;10;8
164;10;7
164;10;1
164;6;12.5
164;6;8.5
164;6;10.5
164;6;11
164;6;7.5
164;1;13.5
164;1;10.5
164;1;10
164;1;14
164;2;19.5
164;2;10.5
164;2;13.5
222;8;9.5
222;8;10.5
222;8;10
222;8;10.5
222;8;9
222;8;12.5
222;8;6.5
222;8;8.5
222;8;9
222;4;15
222;4;15.5
222;4;12
222;3;11
222;3;9.5
222;3;9
222;3;13
222;3;12
222;3;*
222;3;11
222;7;11.5
222;7;7
222;7;10
222;7;11
222;7;8
222;9;8
222;9;13.5
222;9;13
222;9;9.5
222;5;12
222;5;12
222;5;*
222;5;13
222;5;10.5
222;5;12
222;5;7.5
222;5;12
222;5;11
222;5;11
222;10;5
222;10;4
222;6;11
222;6;15
222;6;6
222;6;19
222;6;9
222;1;12.5
222;1;10
222;1;12
222;1;9
222;2;13
222;2;13
222;2;13
290;8;10.5
290;8;7.5
290;8;6.5
290;8;11
290;8;9.5
290;8;11.5
290;8;11.5
290;8;11.5
290;8;9
290;4;15
290;4;16.5
290;4;10
290;3;14.5
290;3;13.5
290;3;7.5
290;3;9.5
290;3;11.5
290;3;11.5
290;3;14
290;7;7.5
290;7;13.5
290;7;9
290;7;10
290;7;10.5
290;9;10.5
290;9;12.5
290;9;10
290;5;15
290;5;10.5
290;5;12
290;5;9
290;5;12
290;5;13
290;5;16
290;5;11.5
290;5;11
290;5;13.5
290;10;9
290;10;4
290;10;5
290;6;9
290;6;10
290;6;9
290;6;9.5
290;6;9.5
290;1;10
290;1;9
290;1;9.5
290;1;11.5
290;2;17
290;2;14.5
290;2;11
302;8;8
302;8;13
302;8;8.5
302;8;12
302;8;13
302;8;12.5
302;8;13.5
302;8;13.5
302;8;10
302;4;14
302;4;14
302;4;*
302;3;13.5
302;3;13.5
302;3;13.5
302;3;10
302;3;12.5
302;3;11.5
302;3;8.5
302;7;13
302;7;10
302;7;11
302;7;*
302;7;7.5
302;9;9
302;9;10.5
302;9;13
302;9;7.5
302;5;19.5
302;5;11
302;5;15.5
302;5;15.5
302;5;12
302;5;16.5
302;5;14.5
302;5;9.5
302;5;14
302;5;13.5
302;10;2
302;10;8
302;10;3
